#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested,SessionNumber,SessionRunNumber,IsSuite,SuiteTests,PrerequisiteTests,ExtraCreditTests,TestScores,FailFromPreReq,
40,Thu Sep 08 12:07:04 EDT 2022,13,0,A2RequiredClassesSuite,F21A2DerivedSafetyVerifier SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided , ,A2CommonPropertiesInherited A2CommonSignaturesAreInherited A2Encapsulation A2InterfaceAsType A2NoHiddenFields A2NoStarImports A2NonPublicAccessModifiersMatched A2PackageDeclarations A2PublicMethodsOverride BasicMainTest BasicModelRegistersObserver ClassifierFactoryTest CompareSafetyComputationsTest ControllerFactoryTest DerivedAndInferredPrintCallSharedProcedure DerivedPrintIsNotDirect DerivingMainTest DerivingModelRegistersObserver F21A2IsInferredSafeTest F21A2NoCheckstyleWarnings InferredPrintIsNotDirect InferringMainTest InferringModelRegistersObserver InterpolatingMainTest InterpolatingModelRegistersObserver ModelFactoryTest ModelReuse PrintGivenAndGeneratedCombinationsInferredSafety SafeSocializationTxtProvided SocialDistanceControllerFetchesModelSingleton SocialDistanceControllerWritesModel SocialDistanceInferringMainProvided SocialDistanceMainCallsControllerMethod SocialDistanceMainFetchesViewSingleton SocialDistanceMainSetsModelSingleton SocialDistanceViewISAPropertyListener ViewFactoryTest WekaFileSizeTest , ,7,0,true,SafeSocializationTxtProvided SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided , , ,SafeSocializationTxtProvided-(0.0/1.0) SocialDistanceBasicMainProvided-(1.0/1.0) SocialDistanceClassRegistryProvided-(1.0/1.0) SocialDistanceDerivingMainProvided-(1.0/1.0) SocialDistanceInferringMainProvided-(0.0/1.0) SocialDistanceInterpolatingMainProvided-(1.0/1.0) SocialDistanceUtilityProvided-(1.0/1.0) , ,
41,Thu Sep 08 12:07:10 EDT 2022,13,0,A2MainClassSuite,F21A2DerivedSafetyVerifier SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided , ,A2CommonPropertiesInherited A2CommonSignaturesAreInherited A2Encapsulation A2InterfaceAsType A2NoHiddenFields A2NoStarImports A2NonPublicAccessModifiersMatched A2PackageDeclarations A2PublicMethodsOverride BasicMainTest BasicModelRegistersObserver ClassifierFactoryTest CompareSafetyComputationsTest ControllerFactoryTest DerivedAndInferredPrintCallSharedProcedure DerivedPrintIsNotDirect DerivingMainTest DerivingModelRegistersObserver F21A2IsInferredSafeTest F21A2NoCheckstyleWarnings InferredPrintIsNotDirect InferringMainTest InferringModelRegistersObserver InterpolatingMainTest InterpolatingModelRegistersObserver ModelFactoryTest ModelReuse PrintGivenAndGeneratedCombinationsInferredSafety SafeSocializationTxtProvided SocialDistanceControllerFetchesModelSingleton SocialDistanceControllerWritesModel SocialDistanceInferringMainProvided SocialDistanceMainCallsControllerMethod SocialDistanceMainFetchesViewSingleton SocialDistanceMainSetsModelSingleton SocialDistanceViewISAPropertyListener ViewFactoryTest WekaFileSizeTest , ,7,1,true,BasicMainTest DerivingMainTest InferringMainTest InterpolatingMainTest , , ,BasicMainTest-(0.0/25.0) DerivingMainTest-(0.0/10.0) InferringMainTest-(0.0/10.0) InterpolatingMainTest-(0.0/10.0) , ,
41,Thu Sep 08 12:07:10 EDT 2022,13,0,A2MainClassSuite,F21A2DerivedSafetyVerifier SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided , ,A2CommonPropertiesInherited A2CommonSignaturesAreInherited A2Encapsulation A2InterfaceAsType A2NoHiddenFields A2NoStarImports A2NonPublicAccessModifiersMatched A2PackageDeclarations A2PublicMethodsOverride BasicMainTest BasicModelRegistersObserver ClassifierFactoryTest CompareSafetyComputationsTest ControllerFactoryTest DerivedAndInferredPrintCallSharedProcedure DerivedPrintIsNotDirect DerivingMainTest DerivingModelRegistersObserver F21A2IsInferredSafeTest F21A2NoCheckstyleWarnings InferredPrintIsNotDirect InferringMainTest InferringModelRegistersObserver InterpolatingMainTest InterpolatingModelRegistersObserver ModelFactoryTest ModelReuse PrintGivenAndGeneratedCombinationsInferredSafety SafeSocializationTxtProvided SocialDistanceControllerFetchesModelSingleton SocialDistanceControllerWritesModel SocialDistanceInferringMainProvided SocialDistanceMainCallsControllerMethod SocialDistanceMainFetchesViewSingleton SocialDistanceMainSetsModelSingleton SocialDistanceViewISAPropertyListener ViewFactoryTest WekaFileSizeTest , ,7,1,true,BasicMainTest DerivingMainTest InferringMainTest InterpolatingMainTest , , ,BasicMainTest-(0.0/25.0) DerivingMainTest-(0.0/10.0) InferringMainTest-(0.0/10.0) InterpolatingMainTest-(0.0/10.0) , ,
42,Thu Sep 08 12:07:19 EDT 2022,13,0,A2UtilityClassSuite,F21A2DerivedSafetyVerifier SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided , ,A2CommonPropertiesInherited A2CommonSignaturesAreInherited A2Encapsulation A2InterfaceAsType A2NoHiddenFields A2NoStarImports A2NonPublicAccessModifiersMatched A2PackageDeclarations A2PublicMethodsOverride BasicMainTest BasicModelRegistersObserver ClassifierFactoryTest CompareSafetyComputationsTest ControllerFactoryTest DerivedAndInferredPrintCallSharedProcedure DerivedPrintIsNotDirect DerivingMainTest DerivingModelRegistersObserver F21A2IsInferredSafeTest F21A2NoCheckstyleWarnings InferredPrintIsNotDirect InferringMainTest InferringModelRegistersObserver InterpolatingMainTest InterpolatingModelRegistersObserver ModelFactoryTest ModelReuse PrintGivenAndGeneratedCombinationsInferredSafety SafeSocializationTxtProvided SocialDistanceControllerFetchesModelSingleton SocialDistanceControllerWritesModel SocialDistanceInferringMainProvided SocialDistanceMainCallsControllerMethod SocialDistanceMainFetchesViewSingleton SocialDistanceMainSetsModelSingleton SocialDistanceViewISAPropertyListener ViewFactoryTest WekaFileSizeTest , ,7,2,true,CompareSafetyComputationsTest F21A2DerivedSafetyVerifier F21A2IsInferredSafeTest PrintGivenAndGeneratedCombinationsInferredSafety WekaFileSizeTest , , ,CompareSafetyComputationsTest-(0.0/10.0) F21A2DerivedSafetyVerifier-(0.0/0.0) F21A2IsInferredSafeTest-(0.0/45.0) PrintGivenAndGeneratedCombinationsInferredSafety-(0.0/7.0) WekaFileSizeTest-(0.0/10.0) , ,
42,Thu Sep 08 12:07:19 EDT 2022,13,0,A2UtilityClassSuite,F21A2DerivedSafetyVerifier SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided , ,A2CommonPropertiesInherited A2CommonSignaturesAreInherited A2Encapsulation A2InterfaceAsType A2NoHiddenFields A2NoStarImports A2NonPublicAccessModifiersMatched A2PackageDeclarations A2PublicMethodsOverride BasicMainTest BasicModelRegistersObserver ClassifierFactoryTest CompareSafetyComputationsTest ControllerFactoryTest DerivedAndInferredPrintCallSharedProcedure DerivedPrintIsNotDirect DerivingMainTest DerivingModelRegistersObserver F21A2IsInferredSafeTest F21A2NoCheckstyleWarnings InferredPrintIsNotDirect InferringMainTest InferringModelRegistersObserver InterpolatingMainTest InterpolatingModelRegistersObserver ModelFactoryTest ModelReuse PrintGivenAndGeneratedCombinationsInferredSafety SafeSocializationTxtProvided SocialDistanceControllerFetchesModelSingleton SocialDistanceControllerWritesModel SocialDistanceInferringMainProvided SocialDistanceMainCallsControllerMethod SocialDistanceMainFetchesViewSingleton SocialDistanceMainSetsModelSingleton SocialDistanceViewISAPropertyListener ViewFactoryTest WekaFileSizeTest , ,7,2,true,CompareSafetyComputationsTest F21A2DerivedSafetyVerifier F21A2IsInferredSafeTest PrintGivenAndGeneratedCombinationsInferredSafety WekaFileSizeTest , , ,CompareSafetyComputationsTest-(0.0/10.0) F21A2DerivedSafetyVerifier-(0.0/0.0) F21A2IsInferredSafeTest-(0.0/45.0) PrintGivenAndGeneratedCombinationsInferredSafety-(0.0/7.0) WekaFileSizeTest-(0.0/10.0) , ,
43,Thu Sep 08 12:11:56 EDT 2022,13,0,A2MainClassSuite,F21A2DerivedSafetyVerifier SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided , ,A2CommonPropertiesInherited A2CommonSignaturesAreInherited A2Encapsulation A2InterfaceAsType A2NoHiddenFields A2NoStarImports A2NonPublicAccessModifiersMatched A2PackageDeclarations A2PublicMethodsOverride BasicMainTest BasicModelRegistersObserver ClassifierFactoryTest CompareSafetyComputationsTest ControllerFactoryTest DerivedAndInferredPrintCallSharedProcedure DerivedPrintIsNotDirect DerivingMainTest DerivingModelRegistersObserver F21A2IsInferredSafeTest F21A2NoCheckstyleWarnings InferredPrintIsNotDirect InferringMainTest InferringModelRegistersObserver InterpolatingMainTest InterpolatingModelRegistersObserver ModelFactoryTest ModelReuse PrintGivenAndGeneratedCombinationsInferredSafety SafeSocializationTxtProvided SocialDistanceControllerFetchesModelSingleton SocialDistanceControllerWritesModel SocialDistanceInferringMainProvided SocialDistanceMainCallsControllerMethod SocialDistanceMainFetchesViewSingleton SocialDistanceMainSetsModelSingleton SocialDistanceViewISAPropertyListener ViewFactoryTest WekaFileSizeTest , ,8,0,true,BasicMainTest DerivingMainTest InferringMainTest InterpolatingMainTest ,SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided , ,BasicMainTest-(0.0/25.0) DerivingMainTest-(0.0/10.0) InferringMainTest-(0.0/10.0) InterpolatingMainTest-(0.0/10.0) , ,
43,Thu Sep 08 12:11:56 EDT 2022,13,0,A2MainClassSuite,F21A2DerivedSafetyVerifier SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided , ,A2CommonPropertiesInherited A2CommonSignaturesAreInherited A2Encapsulation A2InterfaceAsType A2NoHiddenFields A2NoStarImports A2NonPublicAccessModifiersMatched A2PackageDeclarations A2PublicMethodsOverride BasicMainTest BasicModelRegistersObserver ClassifierFactoryTest CompareSafetyComputationsTest ControllerFactoryTest DerivedAndInferredPrintCallSharedProcedure DerivedPrintIsNotDirect DerivingMainTest DerivingModelRegistersObserver F21A2IsInferredSafeTest F21A2NoCheckstyleWarnings InferredPrintIsNotDirect InferringMainTest InferringModelRegistersObserver InterpolatingMainTest InterpolatingModelRegistersObserver ModelFactoryTest ModelReuse PrintGivenAndGeneratedCombinationsInferredSafety SafeSocializationTxtProvided SocialDistanceControllerFetchesModelSingleton SocialDistanceControllerWritesModel SocialDistanceInferringMainProvided SocialDistanceMainCallsControllerMethod SocialDistanceMainFetchesViewSingleton SocialDistanceMainSetsModelSingleton SocialDistanceViewISAPropertyListener ViewFactoryTest WekaFileSizeTest , ,8,0,true,BasicMainTest DerivingMainTest InferringMainTest InterpolatingMainTest ,SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided , ,BasicMainTest-(0.0/25.0) DerivingMainTest-(0.0/10.0) InferringMainTest-(0.0/10.0) InterpolatingMainTest-(0.0/10.0) , ,
44,Thu Sep 08 12:23:24 EDT 2022,13,0,SocialDistanceUtilityProvided,F21A2DerivedSafetyVerifier SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided , ,A2CommonPropertiesInherited A2CommonSignaturesAreInherited A2Encapsulation A2InterfaceAsType A2NoHiddenFields A2NoStarImports A2NonPublicAccessModifiersMatched A2PackageDeclarations A2PublicMethodsOverride BasicMainTest BasicModelRegistersObserver ClassifierFactoryTest CompareSafetyComputationsTest ControllerFactoryTest DerivedAndInferredPrintCallSharedProcedure DerivedPrintIsNotDirect DerivingMainTest DerivingModelRegistersObserver F21A2IsInferredSafeTest F21A2NoCheckstyleWarnings InferredPrintIsNotDirect InferringMainTest InferringModelRegistersObserver InterpolatingMainTest InterpolatingModelRegistersObserver ModelFactoryTest ModelReuse PrintGivenAndGeneratedCombinationsInferredSafety SafeSocializationTxtProvided SocialDistanceControllerFetchesModelSingleton SocialDistanceControllerWritesModel SocialDistanceInferringMainProvided SocialDistanceMainCallsControllerMethod SocialDistanceMainFetchesViewSingleton SocialDistanceMainSetsModelSingleton SocialDistanceViewISAPropertyListener ViewFactoryTest WekaFileSizeTest , ,8,1,false, , , ,SocialDistanceUtilityProvided-(1.0/1.0) , ,
44,Thu Sep 08 12:23:24 EDT 2022,13,0,SocialDistanceUtilityProvided,F21A2DerivedSafetyVerifier SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided , ,A2CommonPropertiesInherited A2CommonSignaturesAreInherited A2Encapsulation A2InterfaceAsType A2NoHiddenFields A2NoStarImports A2NonPublicAccessModifiersMatched A2PackageDeclarations A2PublicMethodsOverride BasicMainTest BasicModelRegistersObserver ClassifierFactoryTest CompareSafetyComputationsTest ControllerFactoryTest DerivedAndInferredPrintCallSharedProcedure DerivedPrintIsNotDirect DerivingMainTest DerivingModelRegistersObserver F21A2IsInferredSafeTest F21A2NoCheckstyleWarnings InferredPrintIsNotDirect InferringMainTest InferringModelRegistersObserver InterpolatingMainTest InterpolatingModelRegistersObserver ModelFactoryTest ModelReuse PrintGivenAndGeneratedCombinationsInferredSafety SafeSocializationTxtProvided SocialDistanceControllerFetchesModelSingleton SocialDistanceControllerWritesModel SocialDistanceInferringMainProvided SocialDistanceMainCallsControllerMethod SocialDistanceMainFetchesViewSingleton SocialDistanceMainSetsModelSingleton SocialDistanceViewISAPropertyListener ViewFactoryTest WekaFileSizeTest , ,8,1,false, , , ,SocialDistanceUtilityProvided-(1.0/1.0) , ,
45,Thu Sep 08 12:23:31 EDT 2022,13,0,BasicMainTest,F21A2DerivedSafetyVerifier SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided , ,A2CommonPropertiesInherited A2CommonSignaturesAreInherited A2Encapsulation A2InterfaceAsType A2NoHiddenFields A2NoStarImports A2NonPublicAccessModifiersMatched A2PackageDeclarations A2PublicMethodsOverride BasicMainTest BasicModelRegistersObserver ClassifierFactoryTest CompareSafetyComputationsTest ControllerFactoryTest DerivedAndInferredPrintCallSharedProcedure DerivedPrintIsNotDirect DerivingMainTest DerivingModelRegistersObserver F21A2IsInferredSafeTest F21A2NoCheckstyleWarnings InferredPrintIsNotDirect InferringMainTest InferringModelRegistersObserver InterpolatingMainTest InterpolatingModelRegistersObserver ModelFactoryTest ModelReuse PrintGivenAndGeneratedCombinationsInferredSafety SafeSocializationTxtProvided SocialDistanceControllerFetchesModelSingleton SocialDistanceControllerWritesModel SocialDistanceInferringMainProvided SocialDistanceMainCallsControllerMethod SocialDistanceMainFetchesViewSingleton SocialDistanceMainSetsModelSingleton SocialDistanceViewISAPropertyListener ViewFactoryTest WekaFileSizeTest , ,8,2,false, , , ,BasicMainTest-(0.0/25.0) , ,
45,Thu Sep 08 12:23:31 EDT 2022,13,0,BasicMainTest,F21A2DerivedSafetyVerifier SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided , ,A2CommonPropertiesInherited A2CommonSignaturesAreInherited A2Encapsulation A2InterfaceAsType A2NoHiddenFields A2NoStarImports A2NonPublicAccessModifiersMatched A2PackageDeclarations A2PublicMethodsOverride BasicMainTest BasicModelRegistersObserver ClassifierFactoryTest CompareSafetyComputationsTest ControllerFactoryTest DerivedAndInferredPrintCallSharedProcedure DerivedPrintIsNotDirect DerivingMainTest DerivingModelRegistersObserver F21A2IsInferredSafeTest F21A2NoCheckstyleWarnings InferredPrintIsNotDirect InferringMainTest InferringModelRegistersObserver InterpolatingMainTest InterpolatingModelRegistersObserver ModelFactoryTest ModelReuse PrintGivenAndGeneratedCombinationsInferredSafety SafeSocializationTxtProvided SocialDistanceControllerFetchesModelSingleton SocialDistanceControllerWritesModel SocialDistanceInferringMainProvided SocialDistanceMainCallsControllerMethod SocialDistanceMainFetchesViewSingleton SocialDistanceMainSetsModelSingleton SocialDistanceViewISAPropertyListener ViewFactoryTest WekaFileSizeTest , ,8,2,false, , , ,BasicMainTest-(0.0/25.0) , ,
46,Thu Sep 08 12:23:33 EDT 2022,13,0,InterpolatingMainTest,F21A2DerivedSafetyVerifier SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided , ,A2CommonPropertiesInherited A2CommonSignaturesAreInherited A2Encapsulation A2InterfaceAsType A2NoHiddenFields A2NoStarImports A2NonPublicAccessModifiersMatched A2PackageDeclarations A2PublicMethodsOverride BasicMainTest BasicModelRegistersObserver ClassifierFactoryTest CompareSafetyComputationsTest ControllerFactoryTest DerivedAndInferredPrintCallSharedProcedure DerivedPrintIsNotDirect DerivingMainTest DerivingModelRegistersObserver F21A2IsInferredSafeTest F21A2NoCheckstyleWarnings InferredPrintIsNotDirect InferringMainTest InferringModelRegistersObserver InterpolatingMainTest InterpolatingModelRegistersObserver ModelFactoryTest ModelReuse PrintGivenAndGeneratedCombinationsInferredSafety SafeSocializationTxtProvided SocialDistanceControllerFetchesModelSingleton SocialDistanceControllerWritesModel SocialDistanceInferringMainProvided SocialDistanceMainCallsControllerMethod SocialDistanceMainFetchesViewSingleton SocialDistanceMainSetsModelSingleton SocialDistanceViewISAPropertyListener ViewFactoryTest WekaFileSizeTest , ,8,3,false, , , ,InterpolatingMainTest-(0.0/10.0) , ,
46,Thu Sep 08 12:23:33 EDT 2022,13,0,InterpolatingMainTest,F21A2DerivedSafetyVerifier SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided , ,A2CommonPropertiesInherited A2CommonSignaturesAreInherited A2Encapsulation A2InterfaceAsType A2NoHiddenFields A2NoStarImports A2NonPublicAccessModifiersMatched A2PackageDeclarations A2PublicMethodsOverride BasicMainTest BasicModelRegistersObserver ClassifierFactoryTest CompareSafetyComputationsTest ControllerFactoryTest DerivedAndInferredPrintCallSharedProcedure DerivedPrintIsNotDirect DerivingMainTest DerivingModelRegistersObserver F21A2IsInferredSafeTest F21A2NoCheckstyleWarnings InferredPrintIsNotDirect InferringMainTest InferringModelRegistersObserver InterpolatingMainTest InterpolatingModelRegistersObserver ModelFactoryTest ModelReuse PrintGivenAndGeneratedCombinationsInferredSafety SafeSocializationTxtProvided SocialDistanceControllerFetchesModelSingleton SocialDistanceControllerWritesModel SocialDistanceInferringMainProvided SocialDistanceMainCallsControllerMethod SocialDistanceMainFetchesViewSingleton SocialDistanceMainSetsModelSingleton SocialDistanceViewISAPropertyListener ViewFactoryTest WekaFileSizeTest , ,8,3,false, , , ,InterpolatingMainTest-(0.0/10.0) , ,
47,Thu Sep 08 12:26:19 EDT 2022,13,0,FactoriesSuite,F21A2DerivedSafetyVerifier SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided , ,A2CommonPropertiesInherited A2CommonSignaturesAreInherited A2Encapsulation A2InterfaceAsType A2NoHiddenFields A2NoStarImports A2NonPublicAccessModifiersMatched A2PackageDeclarations A2PublicMethodsOverride BasicMainTest BasicModelRegistersObserver ClassifierFactoryTest CompareSafetyComputationsTest ControllerFactoryTest DerivedAndInferredPrintCallSharedProcedure DerivedPrintIsNotDirect DerivingMainTest DerivingModelRegistersObserver F21A2IsInferredSafeTest F21A2NoCheckstyleWarnings InferredPrintIsNotDirect InferringMainTest InferringModelRegistersObserver InterpolatingMainTest InterpolatingModelRegistersObserver ModelFactoryTest ModelReuse PrintGivenAndGeneratedCombinationsInferredSafety SafeSocializationTxtProvided SocialDistanceControllerFetchesModelSingleton SocialDistanceControllerWritesModel SocialDistanceInferringMainProvided SocialDistanceMainCallsControllerMethod SocialDistanceMainFetchesViewSingleton SocialDistanceMainSetsModelSingleton SocialDistanceViewISAPropertyListener ViewFactoryTest WekaFileSizeTest , ,8,4,true,ClassifierFactoryTest ControllerFactoryTest ModelFactoryTest ViewFactoryTest , , ,ClassifierFactoryTest-(0.0/3.0) ControllerFactoryTest-(0.0/2.0) ModelFactoryTest-(0.0/3.0) ViewFactoryTest-(0.0/2.0) , ,
47,Thu Sep 08 12:26:19 EDT 2022,13,0,FactoriesSuite,F21A2DerivedSafetyVerifier SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided , ,A2CommonPropertiesInherited A2CommonSignaturesAreInherited A2Encapsulation A2InterfaceAsType A2NoHiddenFields A2NoStarImports A2NonPublicAccessModifiersMatched A2PackageDeclarations A2PublicMethodsOverride BasicMainTest BasicModelRegistersObserver ClassifierFactoryTest CompareSafetyComputationsTest ControllerFactoryTest DerivedAndInferredPrintCallSharedProcedure DerivedPrintIsNotDirect DerivingMainTest DerivingModelRegistersObserver F21A2IsInferredSafeTest F21A2NoCheckstyleWarnings InferredPrintIsNotDirect InferringMainTest InferringModelRegistersObserver InterpolatingMainTest InterpolatingModelRegistersObserver ModelFactoryTest ModelReuse PrintGivenAndGeneratedCombinationsInferredSafety SafeSocializationTxtProvided SocialDistanceControllerFetchesModelSingleton SocialDistanceControllerWritesModel SocialDistanceInferringMainProvided SocialDistanceMainCallsControllerMethod SocialDistanceMainFetchesViewSingleton SocialDistanceMainSetsModelSingleton SocialDistanceViewISAPropertyListener ViewFactoryTest WekaFileSizeTest , ,8,4,true,ClassifierFactoryTest ControllerFactoryTest ModelFactoryTest ViewFactoryTest , , ,ClassifierFactoryTest-(0.0/3.0) ControllerFactoryTest-(0.0/2.0) ModelFactoryTest-(0.0/3.0) ViewFactoryTest-(0.0/2.0) , ,
48,Thu Sep 08 12:28:35 EDT 2022,13,0,FactoriesSuite,F21A2DerivedSafetyVerifier SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided , ,A2CommonPropertiesInherited A2CommonSignaturesAreInherited A2Encapsulation A2InterfaceAsType A2NoHiddenFields A2NoStarImports A2NonPublicAccessModifiersMatched A2PackageDeclarations A2PublicMethodsOverride BasicMainTest BasicModelRegistersObserver ClassifierFactoryTest CompareSafetyComputationsTest ControllerFactoryTest DerivedAndInferredPrintCallSharedProcedure DerivedPrintIsNotDirect DerivingMainTest DerivingModelRegistersObserver F21A2IsInferredSafeTest F21A2NoCheckstyleWarnings InferredPrintIsNotDirect InferringMainTest InferringModelRegistersObserver InterpolatingMainTest InterpolatingModelRegistersObserver ModelFactoryTest ModelReuse PrintGivenAndGeneratedCombinationsInferredSafety SafeSocializationTxtProvided SocialDistanceControllerFetchesModelSingleton SocialDistanceControllerWritesModel SocialDistanceInferringMainProvided SocialDistanceMainCallsControllerMethod SocialDistanceMainFetchesViewSingleton SocialDistanceMainSetsModelSingleton SocialDistanceViewISAPropertyListener ViewFactoryTest WekaFileSizeTest , ,9,0,true,ClassifierFactoryTest ControllerFactoryTest ModelFactoryTest ViewFactoryTest ,SocialDistanceClassRegistryProvided , ,ClassifierFactoryTest-(0.0/3.0) ControllerFactoryTest-(0.0/2.0) ModelFactoryTest-(0.0/3.0) ViewFactoryTest-(0.0/2.0) , ,
48,Thu Sep 08 12:28:35 EDT 2022,13,0,FactoriesSuite,F21A2DerivedSafetyVerifier SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided , ,A2CommonPropertiesInherited A2CommonSignaturesAreInherited A2Encapsulation A2InterfaceAsType A2NoHiddenFields A2NoStarImports A2NonPublicAccessModifiersMatched A2PackageDeclarations A2PublicMethodsOverride BasicMainTest BasicModelRegistersObserver ClassifierFactoryTest CompareSafetyComputationsTest ControllerFactoryTest DerivedAndInferredPrintCallSharedProcedure DerivedPrintIsNotDirect DerivingMainTest DerivingModelRegistersObserver F21A2IsInferredSafeTest F21A2NoCheckstyleWarnings InferredPrintIsNotDirect InferringMainTest InferringModelRegistersObserver InterpolatingMainTest InterpolatingModelRegistersObserver ModelFactoryTest ModelReuse PrintGivenAndGeneratedCombinationsInferredSafety SafeSocializationTxtProvided SocialDistanceControllerFetchesModelSingleton SocialDistanceControllerWritesModel SocialDistanceInferringMainProvided SocialDistanceMainCallsControllerMethod SocialDistanceMainFetchesViewSingleton SocialDistanceMainSetsModelSingleton SocialDistanceViewISAPropertyListener ViewFactoryTest WekaFileSizeTest , ,9,0,true,ClassifierFactoryTest ControllerFactoryTest ModelFactoryTest ViewFactoryTest ,SocialDistanceClassRegistryProvided , ,ClassifierFactoryTest-(0.0/3.0) ControllerFactoryTest-(0.0/2.0) ModelFactoryTest-(0.0/3.0) ViewFactoryTest-(0.0/2.0) , ,
49,Thu Sep 08 12:30:50 EDT 2022,20,7,FactoriesSuite,ControllerFactoryTest+ F21A2DerivedSafetyVerifier ModelFactoryTest+ SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided ViewFactoryTest+ , ,A2CommonPropertiesInherited A2CommonSignaturesAreInherited A2Encapsulation A2InterfaceAsType A2NoHiddenFields A2NoStarImports A2NonPublicAccessModifiersMatched A2PackageDeclarations A2PublicMethodsOverride BasicMainTest BasicModelRegistersObserver ClassifierFactoryTest CompareSafetyComputationsTest DerivedAndInferredPrintCallSharedProcedure DerivedPrintIsNotDirect DerivingMainTest DerivingModelRegistersObserver F21A2IsInferredSafeTest F21A2NoCheckstyleWarnings InferredPrintIsNotDirect InferringMainTest InferringModelRegistersObserver InterpolatingMainTest InterpolatingModelRegistersObserver ModelReuse PrintGivenAndGeneratedCombinationsInferredSafety SafeSocializationTxtProvided SocialDistanceControllerFetchesModelSingleton SocialDistanceControllerWritesModel SocialDistanceInferringMainProvided SocialDistanceMainCallsControllerMethod SocialDistanceMainFetchesViewSingleton SocialDistanceMainSetsModelSingleton SocialDistanceViewISAPropertyListener WekaFileSizeTest , ,10,0,true,ClassifierFactoryTest ControllerFactoryTest ModelFactoryTest ViewFactoryTest ,SocialDistanceClassRegistryProvided , ,ClassifierFactoryTest-(0.0/3.0) ControllerFactoryTest-(2.0/2.0) ModelFactoryTest-(3.0/3.0) ViewFactoryTest-(2.0/2.0) , ,
